Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,2,Friend,C,NA,phony,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
2,E,3,Upper Case,C,NA,excitable,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
3,E,4,Upper Case,C,NA,cautious,CL,Positive,NA,NA,NA,NA,NA,NA,No
4,E,1,Friend,C,NA,unconventional,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
5,E,3,Upper Case,C,NA,excited,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
6,E,2,Friend,C,NA,cruel,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
7,E,4,Upper Case,C,NA,untruthful,CL,Negative,NA,NA,NA,NA,NA,NA,No
8,E,1,Friend,C,NA,proud,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
9,E,1,Friend,C,NA,systematic,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
10,E,4,Upper Case,C,NA,liar,CL,Negative,NA,NA,NA,NA,NA,NA,No
11,E,4,Upper Case,C,NA,sentimental,CL,Positive,NA,NA,NA,NA,NA,NA,No
12,E,1,Friend,C,NA,obedient,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
13,E,4,Upper Case,C,NA,insincere,CL,Negative,NA,NA,NA,NA,NA,NA,No
14,E,2,Friend,C,NA,greedy,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
15,E,3,Upper Case,C,NA,rude,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
16,E,2,Friend,C,NA,selfish,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
17,E,3,Upper Case,C,NA,hostile,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
18,E,1,Friend,C,NA,serious,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
19,E,1,Friend,C,NA,dependable,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
20,E,3,Upper Case,C,NA,ambitious,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
21,E,3,Upper Case,C,NA,ill-mannered,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
22,E,2,Friend,C,NA,boring,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
23,E,1,Friend,C,NA,calm,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
24,E,3,Upper Case,C,NA,quarrelsome,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
25,E,4,Upper Case,C,NA,outgoing,CL,Positive,NA,NA,NA,NA,NA,NA,No
26,E,2,Friend,C,NA,impolite,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
27,E,1,Friend,C,NA,inquisitive,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
28,E,1,Friend,C,NA,self-confident,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
29,E,2,Friend,C,NA,unpleasant,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
30,E,2,Friend,C,NA,irresponsible,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
31,E,4,Upper Case,C,NA,ungrateful,CL,Negative,NA,NA,NA,NA,NA,NA,No
32,E,3,Upper Case,C,NA,cowardly,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
33,E,1,Friend,C,NA,tidy,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
34,E,2,Friend,C,NA,egotistical,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
35,E,2,Friend,C,NA,gossipy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
36,E,4,Upper Case,C,NA,sociable,CL,Positive,NA,NA,NA,NA,NA,NA,No
37,E,2,Friend,C,NA,unappreciative,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
38,E,4,Upper Case,C,NA,relaxed,CL,Positive,NA,NA,NA,NA,NA,NA,No
39,E,4,Upper Case,C,NA,complaining,CL,Negative,NA,NA,NA,NA,NA,NA,No
40,E,4,Upper Case,C,NA,attentive,CL,Positive,NA,NA,NA,NA,NA,NA,No
41,E,1,Friend,C,NA,independent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
42,E,3,Upper Case,C,NA,generous,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
43,E,3,Upper Case,C,NA,disagreeable,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
44,E,3,Upper Case,C,NA,tolerant,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
45,E,2,Friend,C,NA,careless,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
46,E,1,Friend,C,NA,self-reliant,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
47,E,3,Upper Case,C,NA,logical,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
48,E,4,Upper Case,C,NA,uninteresting,CL,Negative,NA,NA,NA,NA,NA,NA,No
