Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,2,You,C,NA,malicious,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
2,E,3,Upper Case,C,NA,mean,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
3,E,1,You,C,NA,quiet,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
4,E,3,Upper Case,C,NA,dishonest,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
5,E,3,Upper Case,C,NA,obnoxious,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
6,E,3,Upper Case,C,NA,perfectionistic,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
7,E,2,You,C,NA,untrustworthy,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
8,E,2,You,C,NA,unkind,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
9,E,4,Upper Case,C,NA,conceited,CL,Negative,NA,NA,NA,NA,NA,NA,No
10,E,1,You,C,NA,bold,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
11,E,2,You,C,NA,narrow-minded,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
12,E,4,Upper Case,C,NA,loud-mouthed,CL,Negative,NA,NA,NA,NA,NA,NA,No
13,E,4,Upper Case,C,NA,unsociable,CL,Negative,NA,NA,NA,NA,NA,NA,No
14,E,3,Upper Case,C,NA,persistent,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
15,E,2,You,C,NA,self -centered,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
16,E,1,You,C,NA,talkative,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
17,E,4,Upper Case,C,NA,daring,CL,Positive,NA,NA,NA,NA,NA,NA,No
18,E,4,Upper Case,C,NA,nonconforming,CL,Positive,NA,NA,NA,NA,NA,NA,No
19,E,4,Upper Case,C,NA,thrifty,CL,Positive,NA,NA,NA,NA,NA,NA,No
20,E,4,Upper Case,C,NA,distrustful,CL,Negative,NA,NA,NA,NA,NA,NA,No
21,E,2,You,C,NA,nosey,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
22,E,2,You,C,NA,jealous,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
23,E,3,Upper Case,C,NA,persuasive,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
24,E,4,Upper Case,C,NA,unreliable,CL,Negative,NA,NA,NA,NA,NA,NA,No
25,E,3,Upper Case,C,NA,idealistic,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
26,E,4,Upper Case,C,NA,prejudiced,CL,Negative,NA,NA,NA,NA,NA,NA,No
27,E,4,Upper Case,C,NA,careful,CL,Positive,NA,NA,NA,NA,NA,NA,No
28,E,1,You,C,NA,confident,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
29,E,2,You,C,NA,discourteous,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
30,E,3,Upper Case,C,NA,cold,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
31,E,1,You,C,NA,self-assured,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
32,E,1,You,C,NA,easygoing,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
33,E,2,You,C,NA,irritating,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
34,E,3,Upper Case,C,NA,boastful,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
35,E,3,Upper Case,C,NA,lazy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
36,E,1,You,C,NA,studious,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
37,E,2,You,C,NA,disobedient,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
38,E,1,You,C,NA,practical,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
39,E,1,You,C,NA,modest,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
40,E,4,Upper Case,C,NA,curious,CL,Positive,NA,NA,NA,NA,NA,NA,No
41,E,2,You,C,NA,gloomy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
42,E,3,Upper Case,C,NA,competent,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
43,E,1,You,C,NA,frank,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
44,E,1,You,C,NA,energetic,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
45,E,2,You,C,NA,irritable,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
46,E,4,Upper Case,C,NA,amusing,CL,Positive,NA,NA,NA,NA,NA,NA,No
47,E,3,Upper Case,C,NA,creative,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
48,E,1,You,C,NA,sensible,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
