Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,4,Upper Case,C,NA,fault-finding,CL,Negative,NA,NA,NA,NA,NA,NA,No
2,E,2,You,C,NA,unsympathetic,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
3,E,1,You,C,NA,prompt,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
4,E,1,You,C,NA,punctual,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
5,E,4,Upper Case,C,NA,capable,CL,Positive,NA,NA,NA,NA,NA,NA,No
6,E,4,Upper Case,C,NA,sloppy,CL,Negative,NA,NA,NA,NA,NA,NA,No
7,E,3,Upper Case,C,NA,overcritical,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
8,E,2,You,C,NA,wasteful,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
9,E,1,You,C,NA,well-mannered,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
10,E,1,You,C,NA,patient,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
11,E,2,You,C,NA,overconfident,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
12,E,4,Upper Case,C,NA,witty,CL,Positive,NA,NA,NA,NA,NA,NA,No
13,E,4,Upper Case,C,NA,orderly,CL,Positive,NA,NA,NA,NA,NA,NA,No
14,E,3,Upper Case,C,NA,enthusiastic,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
15,E,4,Upper Case,C,NA,imaginative,CL,Positive,NA,NA,NA,NA,NA,NA,No
16,E,1,You,C,NA,courteous,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
17,E,4,Upper Case,C,NA,pessimistic,CL,Negative,NA,NA,NA,NA,NA,NA,No
18,E,3,Upper Case,C,NA,clever,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
19,E,2,You,C,NA,domineering,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
20,E,4,Upper Case,C,NA,cheerful,CL,Positive,NA,NA,NA,NA,NA,NA,No
21,E,3,Upper Case,C,NA,responsible,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
22,E,1,You,C,NA,unselfish,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
23,E,2,You,C,NA,angry,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
24,E,2,You,C,NA,untidy ,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
25,E,1,You,C,NA,friendly,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
26,E,2,You,C,NA,moody,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
27,E,3,Upper Case,C,NA,superstitious,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
28,E,2,You,C,NA,inconsistent,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
29,E,3,Upper Case,C,NA,warm,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
30,E,4,Upper Case,C,NA,unimaginative,CL,Negative,NA,NA,NA,NA,NA,NA,No
31,E,1,You,C,NA,reliable,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
32,E,1,You,C,NA,self-critical,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
33,E,3,Upper Case,C,NA,stubborn,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
34,E,1,You,C,NA,truthful,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
35,E,3,Upper Case,C,NA,insecure,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
36,E,2,You,C,NA,indifferent,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
37,E,3,Upper Case,C,NA,worrier,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
38,E,2,You,C,NA,sarcastic,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
39,E,3,Upper Case,C,NA,loyal,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
40,E,1,You,C,NA,honest,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
41,E,4,Upper Case,C,NA,daydreamer,CL,Positive,NA,NA,NA,NA,NA,NA,No
42,E,4,Upper Case,C,NA,absent-minded,CL,Negative,NA,NA,NA,NA,NA,NA,No
43,E,4,Upper Case,C,NA,gullible,CL,Negative,NA,NA,NA,NA,NA,NA,No
44,E,2,You,C,NA,timid,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
45,E,3,Upper Case,C,NA,argumentative,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
46,E,1,You,C,NA,bashful,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
47,E,2,You,C,NA,conformist,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
48,E,3,Upper Case,C,NA,unpredictable,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
