trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,170.83245440002065,None,t,3.466135900001973,170.83245440002065,None,,,,,,,,,,,,,,,,,,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
,,,,,,,,,,,,,,-0.153125,-0.45,0,0,0,0.005980799964163452,None,,,,,,,,,,,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,174.3170400999952,None,177.31758460000856,None,None,177.31758460000856,None,2,182.31726410001284,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,185.3172642000136,None,None,185.3172642000136,None,1,190.31786539999302,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,192.31859889999032,None,None,192.31859889999032,None,3,197.31842239998514,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,198.31860320002306,None,None,198.31860320002306,None,4,203.31770590000087,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,204.31820639997022,None,None,204.31820639997022,None,1,209.31798310001614,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,212.3192493999959,212.3192493999959,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,215.3201159000164,None,218.3190758000128,None,None,218.3190758000128,None,3,223.31809509999584,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,226.31899569998495,None,None,226.31899569998495,None,4,231.31909369997447,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,232.3255644000019,None,None,232.3255644000019,None,4,237.32642350002425,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,241.3258965999703,None,None,241.3258965999703,None,1,246.3260247000144,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,248.32671100000152,None,None,248.32671100000152,None,3,253.33468560001347,None,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3,255.33378400001675,255.33378400001675,001,,2021_Oct_18_0032,FingTap,2021.2.3,144.37889647352154,
