trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,key_resp.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,186.27468699996825,None,t,1.727776400046423,186.27468699996825,None,,,,,,,,,,,,,,,,,,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
,,,,,,,,,,,,,,-0.0484375,0.53,0,0,0,0.0043894798727706075,None,,,,,,,,,,,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,188.01621029991657,None,191.01829099992756,None,None,191.01829099992756,None,3,196.01767630001996,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,198.01787839992903,None,space,198.01787839992903,None,4,201.6636994999135,None,3.6324613000033423,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,204.66380029998254,None,None,204.66380029998254,None,4,209.66591179999523,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,212.67185749998316,None,None,212.67185749998316,None,3,217.67776959994808,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,220.6777050999226,None,None,220.6777050999226,None,4,225.68474179995246,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2,226.68451569997706,226.68451569997706,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,230.6857888000086,None,233.69174809998367,None,None,233.69174809998367,None,3,238.69294839992654,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,241.699588199961,None,None,241.699588199961,None,4,246.7010798000265,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,249.70711369998753,None,None,249.70711369998753,None,2,254.71393610001542,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,256.71521980001125,None,None,256.71521980001125,None,2,261.7281995000085,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,262.73425839992706,None,None,262.73425839992706,None,3,267.73674989992287,None,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,268.74119259999134,268.74119259999134,,001,,2021_Oct_24_0201,FingTap,2021.2.3,143.26175507383255,
