trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,106.27285339997616,None,None,106.27285339997616,None,,,,,,,,,,,,,,,,,,,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
,,,,,,,,,,,,,0.084375,-0.14,1,0,0,0.0021138794254511595,None,,,,,,,,,,,,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,108.03024350001942,None,111.03648550005164,None,space,1.304792799986899,111.03648550005164,None,4,112.35614070005249,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,115.35730979999062,None,space,0.2387413999531418,115.35730979999062,None,2,115.6130510000512,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,117.61484170006588,None,space,0.3048242999939248,117.61484170006588,None,2,117.9325366000412,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,120.9344610000262,None,space,1.3599450999172404,120.9344610000262,None,2,122.30767610005569,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,126.30930030008312,None,space,0.25593759992625564,126.30930030008312,None,3,126.57895520003513,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,129.57983120006975,129.57983120006975,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,131.57970650005154,None,134.58048060000874,None,None,,134.58048060000874,None,2,139.5797511000419,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,142.5800559000345,None,None,,142.5800559000345,None,4,147.58012459997553,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,149.57981969998218,None,None,,149.57981969998218,None,4,154.58988380001392,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,158.59456390002742,None,None,,158.59456390002742,None,2,163.60057100001723,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,166.60134789999574,None,None,,166.60134789999574,None,1,171.60213930008467,None,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,3,172.60944170004223,172.60944170004223,001,,2021_Oct_25_0443,FingTap,2021.2.3,149.1284189506331,
