37.1004 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
37.1622 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
37.1680 	WARNING 	Monitor specification not found. Creating a temporary one...
52.9350 	EXP 	window1: recordFrameIntervals = False
53.0831 	EXP 	window1: recordFrameIntervals = True
53.1594 	EXP 	window1: recordFrameIntervals = False
53.5175 	EXP 	Created memoryPrompt = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='memoryPrompt', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
53.5431 	EXP 	Created text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='text', opacity=1, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1)
53.5438 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
53.5442 	EXP 	New trial (rep=0, index=0): None
53.5963 	EXP 	memoryPrompt: text = 'Prompt One'
53.5963 	EXP 	memoryPrompt: autoDraw = True
58.5601 	EXP 	memoryPrompt: autoDraw = False
58.5601 	EXP 	memoryPrompt: autoDraw = False
58.5601 	EXP 	text: autoDraw = True
63.5553 	EXP 	New trial (rep=1, index=0): None
63.5671 	EXP 	text: autoDraw = False
63.5671 	EXP 	text: autoDraw = False
63.5671 	EXP 	memoryPrompt: text = 'a a'
63.5671 	EXP 	memoryPrompt: autoDraw = True
67.5677 	EXP 	memoryPrompt: autoDraw = False
67.5677 	EXP 	memoryPrompt: autoDraw = False
67.5677 	EXP 	text: autoDraw = True
71.5639 	EXP 	New trial (rep=2, index=0): None
71.5748 	EXP 	text: autoDraw = False
71.5748 	EXP 	text: autoDraw = False
71.5748 	EXP 	memoryPrompt: text = 'b b'
71.5748 	EXP 	memoryPrompt: autoDraw = True
76.5687 	EXP 	memoryPrompt: autoDraw = False
76.5687 	EXP 	memoryPrompt: autoDraw = False
76.5687 	EXP 	text: autoDraw = True
81.5703 	EXP 	New trial (rep=3, index=0): None
81.5908 	EXP 	text: autoDraw = False
81.5908 	EXP 	text: autoDraw = False
81.5908 	EXP 	memoryPrompt: text = 'c'
81.5908 	EXP 	memoryPrompt: autoDraw = True
85.5746 	EXP 	memoryPrompt: autoDraw = False
85.5746 	EXP 	memoryPrompt: autoDraw = False
85.5746 	EXP 	text: autoDraw = True
89.5701 	EXP 	New trial (rep=4, index=0): None
89.5816 	EXP 	text: autoDraw = False
89.5816 	EXP 	text: autoDraw = False
89.5816 	EXP 	memoryPrompt: text = 'd'
89.5816 	EXP 	memoryPrompt: autoDraw = True
93.5750 	EXP 	memoryPrompt: autoDraw = False
93.5750 	EXP 	memoryPrompt: autoDraw = False
93.5750 	EXP 	text: autoDraw = True
97.5818 	EXP 	text: autoDraw = False
97.5818 	EXP 	text: autoDraw = False
