METADATA:
Block Runtime,Experiment Seed,"Number of ""Go/No Go"" stimuli","Number of ""Other"" stimuli","Number of ""Self"" stimuli",Number of Finger Tapping blocks (5 stimuli per block),Number of Memory stimuli,Number of One-Back stimuli,Number of Reading stimuli,Number of Zero-Back stimuli,Subject,Version
10,1,2,2,2,2,2,2,2,2,2,2
2.589479099959135
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data
EXPERIMENT DATA:,One-Back Task
Start Time,2.590958599932492
0-Back Start,2.5910519999451935,,,,One-Back Task,1,2,,
NoGoStimulus Start,8.130962600000203,,,,One-Back Task,1,2,,OneBack
NoGoStimulus End,9.606231200043112,True,,,One-Back Task,1,2,None,OneBack
NoGoStimulus Start,11.574214399792254,,,,One-Back Task,1,2,,OneBack
NoGoStimulus End,12.653754999861121,True,,,One-Back Task,1,2,None,OneBack
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,222.8051249999553
ESQ,223.8191804997623,,Focus_start,,Experience Sampling Questions,1,2,,
ESQ,771.4492783001624,,Focus_response,10.0,Experience Sampling Questions,1,2,,Marker Started at 10
ESQ,771.4496618998237,,Future_start,,Experience Sampling Questions,1,2,,
ESQ,1490.3630114998668,,Future_response,8.0,Experience Sampling Questions,1,2,,Marker Started at 8
