trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,206.54115930000262,None,t,2.3277100999985123,206.54115930000262,None,,,,,,,,,,,,,,,,,,,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
,,,,,,,,,,,,,,0.0375,-0.1225,0,0,0,0.003986009964137338,None,,,,,,,,,,,,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,208.88159239999368,None,211.8832645999937,None,space,1.3953435000003083,211.8832645999937,None,3,213.29142939999292,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,214.29239420000522,None,space,0.294832800005679,214.29239420000522,None,2,214.59807599999476,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,218.59820979999495,None,space,0.3644213000079617,218.59820979999495,None,2,218.97411670000292,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,221.97395189999952,None,space,1.3739730000088457,221.97395189999952,None,1,223.36093530000653,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,224.36226219999662,None,space,0.3183963000046788,224.36226219999662,None,2,224.69453619999695,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4,227.6964270000026,227.6964270000026,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,231.69568279999658,None,234.7036855000042,None,None,,234.7036855000042,None,2,239.69561720000638,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,243.69588020000083,None,None,,243.69588020000083,None,2,248.69604939999408,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,249.7045533000055,None,None,,249.7045533000055,None,3,254.7101920999994,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,258.710193299994,None,None,,258.710193299994,None,4,263.7111165999959,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,265.7117086000071,None,None,,265.7117086000071,None,3,270.71037760000036,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,271.71042230000603,271.71042230000603,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,0,0,0,0,,,,,,,,,,,,,,274.7104803999973,None,277.71056540000427,None,None,,277.71056540000427,None,4,282.7168032000045,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,1,0,1,0,,,,,,,,,,,,,,,,284.71769580000546,None,None,,284.71769580000546,None,4,289.7176795999985,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,2,0,2,0,,,,,,,,,,,,,,,,290.71732789999805,None,None,,290.71732789999805,None,4,295.7178191999992,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,3,0,3,0,,,,,,,,,,,,,,,,299.7179630000028,None,None,,299.7179630000028,None,2,304.7191460000031,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,4,0,4,0,,,,,,,,,,,,,,,,305.7241114000062,None,None,,305.7241114000062,None,3,310.7247333999985,None,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,2,314.72636309999507,314.72636309999507,001,,2021_Oct_11_2130,FingTap,2021.2.3,143.4952868796857,
