Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,4,Upper Case,C,NA,hot-tempered,CL,Negative,NA,NA,NA,NA,NA,NA,No
2,E,2,Friend,C,NA,dominating,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
3,E,4,Upper Case,C,NA,neat,CL,Positive,NA,NA,NA,NA,NA,NA,No
4,E,1,Friend,C,NA,observant,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
5,E,2,Friend,C,NA,envious,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
6,E,4,Upper Case,C,NA,short-tempered,CL,Negative,NA,NA,NA,NA,NA,NA,No
7,E,4,Upper Case,C,NA,unfriendly,CL,Negative,NA,NA,NA,NA,NA,NA,No
8,E,1,Friend,C,NA,cooperative,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
9,E,1,Friend,C,NA,talented,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
10,E,1,Friend,C,NA,alert,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
11,E,2,Friend,C,NA,unattentive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
12,E,3,Upper Case,C,NA,efficient,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
13,E,4,Upper Case,C,NA,forgiving,CL,Positive,NA,NA,NA,NA,NA,NA,No
14,E,3,Upper Case,C,NA,depressed,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
15,E,2,Friend,C,NA,unintelligent,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
16,E,3,Upper Case,C,NA,polite,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
17,E,1,Friend,C,NA,helpful,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
18,E,4,Upper Case,C,NA,noisy,CL,Negative,NA,NA,NA,NA,NA,NA,No
19,E,2,Friend,C,NA,oversensitive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
20,E,2,Friend,C,NA,possessive,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
21,E,2,Friend,C,NA,unpunctual,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
22,E,4,Upper Case,C,NA,pleasant,CL,Positive,NA,NA,NA,NA,NA,NA,No
23,E,3,Upper Case,C,NA,broad-minded,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
24,E,4,Upper Case,C,NA,trustful,CL,Positive,NA,NA,NA,NA,NA,NA,No
25,E,2,Friend,C,NA,unobservant,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
26,E,2,Friend,C,NA,nervous,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
27,E,3,Upper Case,C,NA,unhealthy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
28,E,3,Upper Case,C,NA,humorous,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
29,E,4,Upper Case,C,NA,clumsy,CL,Negative,NA,NA,NA,NA,NA,NA,No
30,E,1,Friend,C,NA,happy,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
31,E,3,Upper Case,C,NA,unhappy,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
32,E,2,Friend,C,NA,unemotional,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
33,E,4,Upper Case,C,NA,kind,CL,Positive,NA,NA,NA,NA,NA,NA,No
34,E,1,Friend,C,NA,considerate,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
35,E,3,Upper Case,C,NA,impractical,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
36,E,3,Upper Case,C,NA,thoughtful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
37,E,1,Friend,C,NA,intelligent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
38,E,3,Upper Case,C,NA,fearful,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
39,E,2,Friend,C,NA,indecisive,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
40,E,1,Friend,C,NA,trustworthy,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
41,E,1,Friend,C,NA,understanding,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
42,E,3,Upper Case,C,NA,sincere,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
43,E,3,Upper Case,C,NA,forgetful,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
44,E,4,Upper Case,C,NA,emotional,CL,Positive,NA,NA,NA,NA,NA,NA,No
45,E,1,Friend,C,NA,shy,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
46,E,2,Friend,C,NA,silent,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
47,E,1,Friend,C,NA,impulsive,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
48,E,4,Upper Case,C,NA,critical,CL,Negative,NA,NA,NA,NA,NA,NA,No
