Trial_No,Type,Condition,Stim1,Stim1_F1,Stim1_F2,Stim2,Stim2_F1,Stim2_F2,Stim3,Stim3_F1,Stim3_F2,Stim4,Stim4_F1,Stim4_F2,Corr_Resp
1,E,1,You,C,NA,quiet,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
2,E,1,You,C,NA,perfectionistic,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
3,E,3,Upper Case,C,NA,bold,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
4,E,2,You,C,NA,malicious,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
5,E,1,You,C,NA,persistent,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
6,E,1,You,C,NA,talkative,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
7,E,4,Upper Case,C,NA,mean,CL,Negative,NA,NA,NA,NA,NA,NA,No
8,E,4,Upper Case,C,NA,daring,CL,Positive,NA,NA,NA,NA,NA,NA,No
9,E,2,You,C,NA,dishonest,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
10,E,2,You,C,NA,obnoxious,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
11,E,4,Upper Case,C,NA,nonconforming,CL,Positive,NA,NA,NA,NA,NA,NA,No
12,E,2,You,C,NA,untrustworthy,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
13,E,2,You,C,NA,unkind,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
14,E,4,Upper Case,C,NA,conceited,CL,Negative,NA,NA,NA,NA,NA,NA,No
15,E,3,Upper Case,C,NA,thrifty,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
16,E,2,You,C,NA,narrow-minded,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
17,E,1,You,C,NA,persuasive,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
18,E,2,You,C,NA,loud-mouthed,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
19,E,1,You,C,NA,idealistic,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
20,E,3,Upper Case,C,NA,careful,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
21,E,2,You,C,NA,unsociable,CU,Negative,NA,NA,NA,NA,NA,NA,NIL
22,E,3,Upper Case,C,NA,self -centered,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
23,E,1,You,C,NA,confident,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
24,E,4,Upper Case,C,NA,distrustful,CL,Negative,NA,NA,NA,NA,NA,NA,No
25,E,3,Upper Case,C,NA,self-assured,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
26,E,3,Upper Case,C,NA,nosey,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
27,E,3,Upper Case,C,NA,jealous,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
28,E,3,Upper Case,C,NA,unreliable,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
29,E,3,Upper Case,C,NA,prejudiced,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
30,E,4,Upper Case,C,NA,easygoing,CL,Positive,NA,NA,NA,NA,NA,NA,No
31,E,1,You,C,NA,studious,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
32,E,3,Upper Case,C,NA,discourteous,CU,Negative,NA,NA,NA,NA,NA,NA,Yes
33,E,3,Upper Case,C,NA,practical,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
34,E,4,Upper Case,C,NA,modest,CL,Positive,NA,NA,NA,NA,NA,NA,No
35,E,4,Upper Case,C,NA,cold,CL,Negative,NA,NA,NA,NA,NA,NA,No
36,E,2,You,C,NA,irritating,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
37,E,4,Upper Case,C,NA,boastful,CL,Negative,NA,NA,NA,NA,NA,NA,No
38,E,2,You,C,NA,lazy,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
39,E,1,You,C,NA,curious,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
40,E,4,Upper Case,C,NA,competent,CL,Positive,NA,NA,NA,NA,NA,NA,No
41,E,1,You,C,NA,frank,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
42,E,2,You,C,NA,disobedient,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
43,E,4,Upper Case,C,NA,energetic,CL,Positive,NA,NA,NA,NA,NA,NA,No
44,E,1,You,C,NA,amusing,CU,Positive,NA,NA,NA,NA,NA,NA,NIL
45,E,3,Upper Case,C,NA,creative,CU,Positive,NA,NA,NA,NA,NA,NA,Yes
46,E,2,You,C,NA,gloomy,CL,Negative,NA,NA,NA,NA,NA,NA,NIL
47,E,1,You,C,NA,sensible,CL,Positive,NA,NA,NA,NA,NA,NA,NIL
48,E,4,Upper Case,C,NA,irritable,CL,Negative,NA,NA,NA,NA,NA,NA,No
