trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,39.616468799998984,None,return,2.0212285998277366,39.616468799998984,None,,,,,,,,,,,,,,,,,,,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
,,,,,,,,,,,,,,0.059375,-0.2875,0,0,0,0.004082110244780779,None,,,,,,,,,,,,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,41.65095630008727,None,44.6582211998757,None,space,0.43807290005497634,44.6582211998757,None,3,45.10904900007881,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,46.11100409994833,None,space,0.3129529000725597,46.11100409994833,None,2,46.435552899958566,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,50.43755570007488,None,space,0.3315654001198709,50.43755570007488,None,1,50.78327629994601,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,53.78552099992521,None,space,0.22641619993373752,53.78552099992521,None,4,54.02627240004949,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,57.027878300054,None,space,0.42679519997909665,57.027878300054,None,2,57.47159729991108,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,61.472449799999595,61.472449799999595,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,65.47245180001482,None,68.47271950007416,None,space,0.40941269998438656,68.47271950007416,None,1,68.89456399995834,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,71.89650409994647,None,space,0.3184256998356432,71.89650409994647,None,1,72.2289758999832,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,74.23000300000422,None,space,0.26514670019969344,74.23000300000422,None,3,74.51457750005648,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,78.51454190001823,None,space,0.3013454000465572,78.51454190001823,None,3,78.83417619997635,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,82.83440540009178,None,space,0.5368050998076797,82.83440540009178,None,1,83.38959919987246,None,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,3,86.38975819991902,86.38975819991902,001,,2021_Nov_04_1507,FingTap,2021.2.3,144.69644173546385,
