,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,4,17  +  7,0,1.45,10.45,26        24,10.45,1.45,11.9, ,11.9,12,0.1,2,15.0,15.04786900000181,16.499351600003138,17.966441299999133,None,False,None
1,37,17  +  6,3,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1,18.0,18.006064900000638,19.460301099999924,20.927133900004264,None,False,None
2,59,19  +  5,6,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2,21.0,20.99381859999994,22.44789610000589,23.916058800001338,None,False,None
3,52,12  +  9,9,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1,24.0,23.99515240000619,25.448733200006245,26.917564300005324,None,False,None
4,2,19  +  9,12,1.45,4.45,28        26,4.45,1.45,5.9, ,5.9,6,0.1,1,27.0,26.996000900006038,28.450197500002105,29.917511600004218,None,False,None
5,22,19  +  6,15,1.45,79.45,25        23,79.45,1.45,80.9, ,80.9,81,0.1,1,30.0,29.997198700002627,31.451521000002685,32.91838470000221,None,False,None
6,34,18  +  8,18,1.45,115.45,24        26,115.45,1.45,116.9, ,116.9,117,0.1,2,33.0,32.998252900004445,34.45232720000058,35.91983460000483,None,False,None
7,30,19  +  7,21,1.45,103.45,24        26,103.45,1.45,104.9, ,104.9,105,0.1,2,36.0,35.99950030000036,37.45423270000174,38.920332400004554,None,False,None
8,16,17  +  9,24,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1,39.0,39.00144160000491,40.45419400000537,41.92175510000379,None,False,None
9,8,19  +  6,27,1.45,22.45,27        25,22.45,1.45,23.9, ,23.9,24,0.1,2,42.0,42.0012499000004,43.45529969999916,44.92236210000556,None,False,None
10,29,19  +  6,30,1.45,100.45,25        23,100.45,1.45,101.9, ,101.9,102,0.1,1,45.0,45.002435700000206,46.45647730000201,47.92367340000055,None,False,None
11,58,19  +  7,33,1.45,202.45,26        24,202.45,1.45,203.9, ,203.9,204,0.1,1,48.0,48.00376790000155,49.457594999999856,50.92455300000438,None,False,None
12,75,16  +  6,36,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2,51.0,51.00446190000366,52.45844670000224,53.92573510000511,None,False,None
13,15,17  +  4,39,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2,54.0,54.00580600000103,55.45947929999966,56.92703430000256,None,False,None
14,5,16  +  9,42,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2,57.0,56.99329410000064,58.44727200000489,59.91453210000327,None,False,None
15,40,18  +  8,45,1.45,133.45,26        24,133.45,1.45,134.9, ,134.9,135,0.1,1,60.0,59.99473399999988,61.44856889999937,62.91563670000323,None,False,None
16,53,14  +  8,48,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2,63.0,62.995498600001156,64.44954140000482,65.91722719999962,None,False,None
17,28,19  +  2,51,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1,66.0,65.99673690000054,67.4505222000007,68.91763280000305,None,False,None
18,10,17  +  9,54,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1,69.0,68.99767760000395,70.45201850000012,71.91906550000567,None,False,None
19,17,19  +  6,57,1.45,49.45,27        25,49.45,1.45,50.9, ,50.9,51,0.1,2,72.0,71.99900160000107,73.45335200000409,74.92016780000267,None,False,None
20,70,15  +  9,60,1.45,253.45,24        26,253.45,1.45,254.9, ,254.9,255,0.1,1,75.0,90.03312240000378,91.48595880000357,92.95327610000095,None,False,None
21,20,17  +  8,63,1.45,58.45,25        23,58.45,1.45,59.9, ,59.9,60,0.1,1,78.0,92.99329650000436,94.44727110000531,95.91441370000393,None,False,None
22,1,14  +  7,66,1.45,1.45,23        21,1.45,1.45,2.9, ,2.9,3,0.1,2,81.0,95.95429300000251,97.40823860000091,98.87567790000321,None,False,None
23,42,17  +  8,69,1.45,154.45,27        25,154.45,1.45,155.9, ,155.9,156,0.1,2,84.0,98.91613309999957,100.3688581000024,101.83611500000552,None,False,None
24,79,13  +  9,72,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2,87.0,101.8767255000057,103.33050540000113,104.7986591000008,None,False,None
25,60,19  +  8,75,1.45,208.45,29        27,208.45,1.45,209.9, ,209.9,210,0.1,2,90.0,104.83716970000387,106.2916056000031,107.7583517000021,None,False,None
26,26,16  +  5,78,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1,93.0,107.79810650000582,109.25231820000045,110.7198955000058,None,False,None
27,67,13  +  8,81,1.45,244.45,19        21,244.45,1.45,245.9, ,245.9,246,0.1,2,96.0,110.75973440000234,112.21329110000079,113.68033550000109,None,False,None
28,49,19  +  2,84,1.45,175.45,21        23,175.45,1.45,176.9, ,176.9,177,0.1,1,99.0,113.72033850000298,115.17447760000505,116.64140690000204,None,False,None
29,7,18  +  6,87,1.45,19.45,26        24,19.45,1.45,20.9, ,20.9,21,0.1,2,102.0,116.68146590000106,118.13561810000101,119.6030871000039,None,False,None
30,33,18  +  6,90,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1,105.0,119.64284640000551,121.09695130000182,122.56411420000222,None,False,None
31,48,17  +  4,93,1.45,172.45,23        21,172.45,1.45,173.9, ,173.9,174,0.1,2,108.0,122.60376390000602,124.05766310000035,125.5248442000011,None,False,None
