,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans,i_trial_onset,trial_onset,choice_onset,blank_r_onset,RT,correct,KeyPress
0,33,5  +  5,0,1.45,112.45,10        8,112.45,1.45,113.9, ,113.9,114,0.1,1,15.0,15.058119099994656,16.51212639998994,17.977684299999964,None,False,None
1,36,4  +  4,3,1.45,121.45,10        8,121.45,1.45,122.9, ,122.9,123,0.1,2,18.0,18.017227099990123,19.47050299998955,20.938224500001525,None,False,None
2,7,8  +  1,6,1.45,19.45,9        11,19.45,1.45,20.9, ,20.9,21,0.1,1,21.0,21.005236199998762,22.458898999990197,23.925917100001243,None,False,None
3,35,5  +  3,9,1.45,118.45,8        10,118.45,1.45,119.9, ,119.9,120,0.1,1,24.0,24.005866499996046,25.460131200001342,26.927508900000248,None,False,None
4,17,6  +  2,12,1.45,49.45,8        10,49.45,1.45,50.9, ,50.9,51,0.1,1,27.0,27.00554149999516,28.459710600000108,29.92704949999461,None,False,None
5,51,2  +  8,15,1.45,181.45,10        8,181.45,1.45,182.9, ,182.9,183,0.1,1,30.0,30.00838559999829,31.46154829999432,32.93002679999336,None,False,None
6,27,5  +  4,18,1.45,94.45,7        9,94.45,1.45,95.9, ,95.9,96,0.1,2,33.0,32.99685789999785,34.451431599998614,35.91728100000182,None,False,None
7,74,1  +  4,21,1.45,265.45,5        7,265.45,1.45,266.9, ,266.9,267,0.1,1,36.0,35.99687350000022,37.4529848999955,38.919448699991335,None,False,None
8,25,2  +  8,24,1.45,88.45,12        10,88.45,1.45,89.9, ,89.9,90,0.1,2,39.0,38.99875159999647,40.45489049999742,41.91863089999242,None,False,None
9,49,6  +  1,27,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2,42.0,41.99965469999006,43.4555057999969,44.92395509999187,None,False,None
10,16,3  +  1,30,1.45,46.45,4        6,46.45,1.45,47.9, ,47.9,48,0.1,1,45.0,45.00141939999594,46.453998600001796,47.92107389999728,None,False,None
11,60,1  +  3,33,1.45,208.45,2        4,208.45,1.45,209.9, ,209.9,210,0.1,2,48.0,48.00132609999855,49.4541470999975,50.922571499992046,None,False,None
12,6,1  +  6,36,1.45,16.45,7        5,16.45,1.45,17.9, ,17.9,18,0.1,1,51.0,51.00238249999529,52.45648359999177,53.923116199992364,None,False,None
13,13,1  +  1,39,1.45,37.45,4        2,37.45,1.45,38.9, ,38.9,39,0.1,2,54.0,54.00424729999213,55.45711859999574,56.92317090000142,None,False,None
14,18,4  +  2,42,1.45,52.45,6        4,52.45,1.45,53.9, ,53.9,54,0.1,1,57.0,57.00431009999011,58.45857719999913,59.92599269999482,None,False,None
15,1,4  +  2,45,1.45,1.45,8        6,1.45,1.45,2.9, ,2.9,3,0.1,2,60.0,60.00470039999345,61.46760550000181,62.92769450000196,None,False,None
16,52,5  +  4,48,1.45,184.45,9        7,184.45,1.45,185.9, ,185.9,186,0.1,1,63.0,63.0085121000011,64.45908359999885,65.92979519999062,None,False,None
17,55,2  +  8,51,1.45,193.45,10        12,193.45,1.45,194.9, ,194.9,195,0.1,1,66.0,66.0079199999891,67.46129320000182,68.92867709998973,None,False,None
18,20,1  +  8,54,1.45,58.45,11        9,58.45,1.45,59.9, ,59.9,60,0.1,2,69.0,68.99384859998827,70.44995179999387,71.91626410000026,None,False,None
19,14,9  +  1,57,1.45,40.45,8        10,40.45,1.45,41.9, ,41.9,42,0.1,2,72.0,71.99720919999527,73.4501745999878,74.91826140000194,None,False,None
