METADATA:
Block Runtime,Experiment Seed,"Number of ""Go/No Go"" stimuli","Number of ""Other"" stimuli","Number of ""Self"" stimuli",Number of Finger Tapping blocks (5 stimuli per block),Number of Memory stimuli,Number of One-Back stimuli,Number of Reading stimuli,Number of Zero-Back stimuli,Subject
10,1,2,2,2,2,2,2,2,2,2
1.9463842999994085
Timepoint,Time,Is_correct,Experience Sampling Question,Experience Sampling Response,Task,Task Iteration,Participant ID,Response_Key,Auxillary Data
EXPERIMENT DATA:,Friend Task
Start Time,15.424108399998659
Other_Task_Start,15.647860600000058,,,,Friend Task,1,2,['return'],
Start_of_cruel,23.478629799999908,,,,Friend Task,1,2,,
End_of_cruel,23.478629799999908,,,,Friend Task,1,2,left,
Start_of_excited,30.57634799999869,,,,Friend Task,1,2,,
End_of_excited,30.57634799999869,,,,Friend Task,1,2,left,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,31.01057789999868
ESQ,32.9215566999992,,Focus_start,,Experience Sampling Questions,1,2,,
ESQ,35.19397209999988,,Focus_response,3.000000000000001,Experience Sampling Questions,1,2,,Marker Started at 2
ESQ,35.19454549999864,,Future_start,,Experience Sampling Questions,1,2,,
ESQ,42.886919299999136,,Future_response,8.0,Experience Sampling Questions,1,2,,Marker Started at 8
EXPERIMENT DATA:,You Task
Start Time,42.92288269999881
Self_Task_Start,43.05097819999901,,,,You Task,1,2,['return'],
Start_of_malicious,46.181170899999415,,,,You Task,1,2,,
End_of_malicious,46.181170899999415,,,,You Task,1,2,left,
Start_of_mean,49.16601730000002,,,,You Task,1,2,,
End_of_mean,49.16601730000002,,,,You Task,1,2,right,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,49.92591029999858
ESQ,106.1969296999996,,Focus_start,,Experience Sampling Questions,1,2,,
ESQ,107.84391169999981,,Focus_response,9.0,Experience Sampling Questions,1,2,,Marker Started at 9
ESQ,107.84428499999922,,Future_start,,Experience Sampling Questions,1,2,,
ESQ,109.53707819999909,,Future_response,1.8,Experience Sampling Questions,1,2,,Marker Started at 2
EXPERIMENT DATA:,GoNoGo Task
Start Time,109.58692239999982
gonogo START,109.58701250000013,,,,GoNoGo Task,1,2,,
Go/NoGo Initialized,111.22592489999988,,,,GoNoGo Task,1,2,,
Stimulus start,115.40952629999992,,,,GoNoGo Task,1,2,,Type: Go
Stimulus end,116.66218219999973,True,,,GoNoGo Task,1,2,,Type: Go
Stimulus start,117.73648460000004,,,,GoNoGo Task,1,2,,Type: NoGo
Stimulus end,118.73764569999912,True,,,GoNoGo Task,1,2,,Type: NoGo
Go/NoGo Finished,118.78172389999963,,,,GoNoGo Task,1,2,,
EXPERIMENT DATA:,Experience Sampling Questions
Start Time,118.7883669999992
ESQ,120.73382339999989,,Focus_start,,Experience Sampling Questions,1,2,,
ESQ,122.84991239999908,,Focus_response,9.100000000000003,Experience Sampling Questions,1,2,,Marker Started at 10
ESQ,122.85071590000007,,Future_start,,Experience Sampling Questions,1,2,,
ESQ,124.41590579999865,,Future_response,8.0,Experience Sampling Questions,1,2,,Marker Started at 8
EXPERIMENT DATA:,Finger Tapping Task
Start Time,124.45653429999948
Finger Tapping Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Block Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial End,,False,,,Finger Tapping Task,1,2,,
Finger Tapping Trial Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial End,,False,,,Finger Tapping Task,1,2,,
Finger Tapping Trial Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial End,,False,,,Finger Tapping Task,1,2,,
Finger Tapping Trial Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial End,,False,,,Finger Tapping Task,1,2,,
Finger Tapping Trial Start,172.64323820000027,,,,Finger Tapping Task,1,2,,
Finger Tapping Trial End,,False,,,Finger Tapping Task,1,2,,
