trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,key_resp.rt,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,95.16549140001007,None,return,1.6372369000018807,95.16549140001007,None,,,,,,,,,,,,,,,,,,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
,,,,,,,,,,,,,,0.0890625,0.0075,0,0,0,5.927929600031348,None,,,,,,,,,,,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,96.8194247000065,None,99.8351537000126,None,None,99.8351537000126,None,1,104.82256060000509,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,108.82551439999952,None,None,108.82551439999952,None,1,113.83849700000428,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,116.83871630000067,None,None,116.83871630000067,None,4,121.8406374000042,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,125.84156060000532,None,None,125.84156060000532,None,1,130.84518200000457,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,134.846504000001,None,space,134.846504000001,None,4,136.82048140000552,None,1.9552486999891698,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,4,139.82031150000694,139.82031150000694,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,140.82048670000222,None,143.8213107000047,None,None,143.8213107000047,None,4,148.82343850001052,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,149.82548540001153,None,None,149.82548540001153,None,3,154.82692090001365,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,155.82752930000424,None,None,155.82752930000424,None,4,160.82744940000703,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,161.82808020000812,None,None,161.82808020000812,None,4,166.83226380000997,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,,170.8310804000066,None,None,170.8310804000066,None,2,175.83289800000784,None,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,4,179.8346450000099,179.8346450000099,,001,,2021_Dec_17_0601,FingTap,2021.2.3,74.70050699840817,
