trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,text.started,text.stopped,key_resp_2.keys,key_resp_2.started,key_resp_2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.started,mouse.stopped,text_2.started,text_2.stopped,polygon.started,polygon.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,stimulus_interval,text_4.started,text_4.stopped,session,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,None,None,None,None,None,,,,,,,,,,,,,,,,,,,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
,,,,,,,,,,,,,0.096875,0.0725,0,0,0,None,None,,,,,,,,,,,,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,303.549070699999,None,306.5639580999996,None,space,0.7078533999883803,306.5639580999996,None,3,307.284115500006,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,309.28494240000146,None,space,0.40269670000998303,309.28494240000146,None,2,309.7117122000054,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,313.71346850000555,None,None,,313.71346850000555,None,4,318.7148420000012,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,320.71697459999996,None,None,,320.71697459999996,None,4,325.7171187000058,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,328.7184269999998,None,None,,328.7184269999998,None,1,333.72009360000084,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1,337.72206780000124,337.72206780000124,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,340.7227053000097,None,343.73938389999967,None,None,,343.73938389999967,None,4,348.7278013000032,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,350.72623179999937,None,None,,350.72623179999937,None,3,355.7303091000067,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,359.7306995000108,None,None,,359.7306995000108,None,2,364.7325398000103,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,366.73324929999944,None,None,,366.73324929999944,None,2,371.7347626000119,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,4,0,4,0,,,,,,,,,,,,,,,372.7352149000071,None,None,,372.7352149000071,None,4,377.73743040001136,None,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2,378.7374953000108,378.7374953000108,001,,2021_Dec_17_0805,FingTap,2021.2.3,74.38467140460293,
