Go, Nogo, Block, Condition,Box,GoImg,NoGoImg,Scrambled_Words,Scrambled_Pictures
tower,ant,1, S,/rectangle1.png,/Stimuli/ManMade/accordion01.jpg,/Stimuli/Animals/africanelephant.jpg,/Stimuli/Scrambled/Slide100S0.JPG,/Stimuli/Scrambled/accordion01S0.jpg
axe,armadillo,1, E,/rectangle2.png,/Stimuli/ManMade/acousticguitar02.jpg,/Stimuli/Animals/alligator.jpg,/Stimuli/Scrambled/Slide101S0.JPG,/Stimuli/Scrambled/acornS0.jpg
car,beaver,1, S,/rectangle3.png,/Stimuli/ManMade/apron.jpg,/Stimuli/Animals/ant.jpg,/Stimuli/Scrambled/Slide102S0.JPG,/Stimuli/Scrambled/acousticguitar02S0.jpg
aeroplane,bee,1, E,,/Stimuli/ManMade/arrow02.jpg,/Stimuli/Animals/armadillo.jpg,/Stimuli/Scrambled/Slide103S0.JPG,/Stimuli/Scrambled/africanelephantS0.jpg
crown,bird,1, S,,/Stimuli/ManMade/athleticsock.jpg,/Stimuli/Animals/beaver.jpg,/Stimuli/Scrambled/Slide104S0.JPG,/Stimuli/Scrambled/alligatorS0.jpg
tap,butterfly,1, E,,/Stimuli/ManMade/balcony02.jpg,/Stimuli/Animals/cat.jpg,/Stimuli/Scrambled/Slide105S0.JPG,/Stimuli/Scrambled/antS0.jpg
tractor,camel,1, S,,/Stimuli/ManMade/banjo.jpg,/Stimuli/Animals/cobra.jpg,/Stimuli/Scrambled/Slide106S0.JPG,/Stimuli/Scrambled/apronS0.jpg
grill,cat,1, E,,/Stimuli/ManMade/barbecue03.jpg,/Stimuli/Animals/cow.jpg,/Stimuli/Scrambled/Slide107S0.JPG,/Stimuli/Scrambled/armadilloS0.jpg
lantern,chicken,1, S,,/Stimuli/ManMade/barn.jpg,/Stimuli/Animals/crab01.jpg,/Stimuli/Scrambled/Slide108S0.JPG,/Stimuli/Scrambled/arrow02S0.jpg
marble,cow,1, E,,/Stimuli/ManMade/barrel01.jpg,/Stimuli/Animals/dalmatian.jpg,/Stimuli/Scrambled/Slide109S0.JPG,/Stimuli/Scrambled/athleticsockS0.jpg
mask,crab,, S,,/Stimuli/ManMade/basketball01.jpg,/Stimuli/Animals/dolphin01.jpg,/Stimuli/Scrambled/Slide10S0.JPG,/Stimuli/Scrambled/balcony02S0.jpg
sink,crocodile,, E,,/Stimuli/ManMade/battleaxe.jpg,/Stimuli/Animals/dromedary.jpg,/Stimuli/Scrambled/Slide110S0.JPG,/Stimuli/Scrambled/banjoS0.jpg
statue,dalmatian,, S,,/Stimuli/ManMade/beachumbrella01.jpg,/Stimuli/Animals/giraffe.jpg,/Stimuli/Scrambled/Slide111S0.JPG,/Stimuli/Scrambled/barbecue03S0.jpg
belt,dolphin,, E,,/Stimuli/ManMade/bench01.jpg,/Stimuli/Animals/greathornowl.jpg,/Stimuli/Scrambled/Slide112S0.JPG,/Stimuli/Scrambled/barnS0.jpg
shorts,elephant,, S,,/Stimuli/ManMade/beret01.jpg,/Stimuli/Animals/greatwhiteshark.jpg,/Stimuli/Scrambled/Slide113S0.JPG,/Stimuli/Scrambled/barrel01S0.jpg
trophy,fish,, E,,/Stimuli/ManMade/bicycle.jpg,/Stimuli/Animals/hen.jpg,/Stimuli/Scrambled/Slide114S0.JPG,/Stimuli/Scrambled/basketball01S0.jpg
accordion,frog,, S,,/Stimuli/ManMade/bikewheel.jpg,/Stimuli/Animals/hippopotamus.jpg,/Stimuli/Scrambled/Slide115S0.JPG,/Stimuli/Scrambled/batS0.jpg
anchor,giraffe,, E,,/Stimuli/ManMade/blender.jpg,/Stimuli/Animals/holdfast.jpg,/Stimuli/Scrambled/Slide116S0.JPG,/Stimuli/Scrambled/battleaxeS0.jpg
apron,hippo,,,,/Stimuli/ManMade/bolt01a.jpg,/Stimuli/Animals/honeybee.jpg,/Stimuli/Scrambled/Slide117S0.JPG,/Stimuli/Scrambled/beachumbrella01S0.jpg
armour,horse,,,,/Stimuli/ManMade/bookshelf.jpg,/Stimuli/Animals/horse.jpg,/Stimuli/Scrambled/Slide118S0.JPG,/Stimuli/Scrambled/beaverS0.jpg
arrow,jellyfish,,,,/Stimuli/ManMade/bow.jpg,/Stimuli/Animals/jackrabbit.jpg,/Stimuli/Scrambled/Slide119S0.JPG,/Stimuli/Scrambled/bench01S0.jpg
balcony,kangaroo,,,,/Stimuli/ManMade/boxtrailer.jpg,/Stimuli/Animals/jellyfish.jpg,/Stimuli/Scrambled/Slide11S0.JPG,/Stimuli/Scrambled/beret01S0.jpg
banjo,ladybird,,,,/Stimuli/ManMade/boxtruck.jpg,/Stimuli/Animals/kangaroo.jpg,/Stimuli/Scrambled/Slide120S0.JPG,/Stimuli/Scrambled/bicycleS0.jpg
barbecue,lion,,,,/Stimuli/ManMade/bridge.jpg,/Stimuli/Animals/ladybug03.jpg,/Stimuli/Scrambled/Slide121S0.JPG,/Stimuli/Scrambled/bikewheelS0.jpg
barn,moose,,,,/Stimuli/ManMade/bulldozer.jpg,/Stimuli/Animals/lion.jpg,/Stimuli/Scrambled/Slide122S0.JPG,/Stimuli/Scrambled/blenderS0.jpg
barrel,ostrich,,,,/Stimuli/ManMade/bullet.jpg,/Stimuli/Animals/monarchbutterfly.jpg,/Stimuli/Scrambled/Slide123S0.JPG,/Stimuli/Scrambled/bolt01aS0.jpg
basketball,owl,,,,/Stimuli/ManMade/buoy.jpg,/Stimuli/Animals/moose.jpg,/Stimuli/Scrambled/Slide124S0.JPG,/Stimuli/Scrambled/bookshelfS0.jpg
bell,panda,,,,/Stimuli/ManMade/bus.jpg,/Stimuli/Animals/ostrich.jpg,/Stimuli/Scrambled/Slide125S0.JPG,/Stimuli/Scrambled/bowS0.jpg
bench,parrot,,,,/Stimuli/ManMade/calendar.jpg,/Stimuli/Animals/panda.jpg,/Stimuli/Scrambled/Slide126S0.JPG,/Stimuli/Scrambled/boxtrailerS0.jpg
beret,peacock,,,,/Stimuli/ManMade/callbell.jpg,/Stimuli/Animals/parrot01.jpg,/Stimuli/Scrambled/Slide127S0.JPG,/Stimuli/Scrambled/boxtruckS0.jpg
bike,pig,,,,/Stimuli/ManMade/cannon.jpg,/Stimuli/Animals/peacock.jpg,/Stimuli/Scrambled/Slide128S0.JPG,/Stimuli/Scrambled/bridgeS0.jpg
bin,pigeon,,,,/Stimuli/ManMade/canoepaddle02.jpg,/Stimuli/Animals/pig.jpg,/Stimuli/Scrambled/Slide129S0.JPG,/Stimuli/Scrambled/bulldozerS0.jpg
blender,platypus,,,,/Stimuli/ManMade/car.jpg,/Stimuli/Animals/pigeon.jpg,/Stimuli/Scrambled/Slide12S0.JPG,/Stimuli/Scrambled/bulletS0.jpg
boat,porcupine,,,,/Stimuli/ManMade/cello.jpg,/Stimuli/Animals/platypus.jpg,/Stimuli/Scrambled/Slide130S0.JPG,/Stimuli/Scrambled/buoyS0.jpg
bolt,rabbit,,,,/Stimuli/ManMade/cessna.jpg,/Stimuli/Animals/porcupine.jpg,/Stimuli/Scrambled/Slide131S0.JPG,/Stimuli/Scrambled/busS0.jpg
