,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
0,61,19  +  3,0,1.45,226.45,22        24,226.45,1.45,227.9, ,227.9,228,0.1,1
1,16,17  +  9,3,1.45,46.45,26        28,46.45,1.45,47.9, ,47.9,48,0.1,1
2,41,19  +  9,6,1.45,151.45,30        28,151.45,1.45,152.9, ,152.9,153,0.1,2
3,6,17  +  7,9,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1
4,79,13  +  9,12,1.45,280.45,24        22,280.45,1.45,281.9, ,281.9,282,0.1,2
5,11,16  +  7,15,1.45,31.45,21        23,31.45,1.45,32.9, ,32.9,33,0.1,2
6,10,17  +  9,18,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1
7,62,14  +  9,21,1.45,229.45,23        25,229.45,1.45,230.9, ,230.9,231,0.1,1
8,69,17  +  5,24,1.45,250.45,22        24,250.45,1.45,251.9, ,251.9,252,0.1,1
9,33,18  +  6,27,1.45,112.45,24        26,112.45,1.45,113.9, ,113.9,114,0.1,1
10,75,16  +  6,30,1.45,268.45,24        22,268.45,1.45,269.9, ,269.9,270,0.1,2
11,7,18  +  6,33,1.45,19.45,26        24,19.45,1.45,20.9, ,20.9,21,0.1,2
12,26,16  +  5,36,1.45,91.45,21        19,91.45,1.45,92.9, ,92.9,93,0.1,1
13,24,16  +  8,39,1.45,85.45,26        24,85.45,1.45,86.9, ,86.9,87,0.1,2
14,15,17  +  4,42,1.45,43.45,23        21,43.45,1.45,44.9, ,44.9,45,0.1,2
15,39,13  +  8,45,1.45,130.45,21        23,130.45,1.45,131.9, ,131.9,132,0.1,1
16,27,18  +  7,48,1.45,94.45,27        25,94.45,1.45,95.9, ,95.9,96,0.1,2
17,14,16  +  8,51,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2
18,78,17  +  7,54,1.45,277.45,22        24,277.45,1.45,278.9, ,278.9,279,0.1,2
19,45,15  +  9,57,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1
20,53,14  +  8,60,1.45,187.45,24        22,187.45,1.45,188.9, ,188.9,189,0.1,2
21,25,15  +  8,63,1.45,88.45,23        25,88.45,1.45,89.9, ,89.9,90,0.1,1
22,28,19  +  2,66,1.45,97.45,21        23,97.45,1.45,98.9, ,98.9,99,0.1,1
23,49,19  +  2,69,1.45,175.45,21        23,175.45,1.45,176.9, ,176.9,177,0.1,1
24,77,18  +  3,72,1.45,274.45,23        21,274.45,1.45,275.9, ,275.9,276,0.1,2
25,38,19  +  8,75,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2
26,72,18  +  7,78,1.45,259.45,25        23,259.45,1.45,260.9, ,260.9,261,0.1,1
27,19,14  +  8,81,1.45,55.45,22        24,55.45,1.45,56.9, ,56.9,57,0.1,1
28,74,19  +  3,84,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1
29,59,19  +  5,87,1.45,205.45,22        24,205.45,1.45,206.9, ,206.9,207,0.1,2
30,23,14  +  9,90,1.45,82.45,21        23,82.45,1.45,83.9, ,83.9,84,0.1,2
31,52,12  +  9,93,1.45,184.45,21        23,184.45,1.45,185.9, ,185.9,186,0.1,1
