,trial_num,expression,expr_onset,expr_dura,expr_offset,choice,choi_onset,choi_dura,choi_offset,blank,blank_onset,blank_offset,blank_dura,correct_ans
0,66,3  +  6,0,1.45,241.45,11        9,241.45,1.45,242.9, ,242.9,243,0.1,2
1,24,4  +  3,3,1.45,85.45,5        7,85.45,1.45,86.9, ,86.9,87,0.1,2
2,26,2  +  3,6,1.45,91.45,5        7,91.45,1.45,92.9, ,92.9,93,0.1,1
3,42,2  +  1,9,1.45,154.45,5        3,154.45,1.45,155.9, ,155.9,156,0.1,2
4,31,1  +  1,12,1.45,106.45,2        0,106.45,1.45,107.9, ,107.9,108,0.1,1
5,71,7  +  1,15,1.45,256.45,8        6,256.45,1.45,257.9, ,257.9,258,0.1,1
6,77,5  +  2,18,1.45,274.45,5        7,274.45,1.45,275.9, ,275.9,276,0.1,2
7,37,2  +  1,21,1.45,124.45,3        5,124.45,1.45,125.9, ,125.9,126,0.1,1
8,63,4  +  3,24,1.45,232.45,9        7,232.45,1.45,233.9, ,233.9,234,0.1,2
9,9,4  +  2,27,1.45,25.45,6        8,25.45,1.45,26.9, ,26.9,27,0.1,1
10,29,3  +  5,30,1.45,100.45,8        10,100.45,1.45,101.9, ,101.9,102,0.1,1
11,41,2  +  6,33,1.45,151.45,8        6,151.45,1.45,152.9, ,152.9,153,0.1,1
12,30,3  +  6,36,1.45,103.45,9        7,103.45,1.45,104.9, ,104.9,105,0.1,1
13,75,1  +  5,39,1.45,268.45,6        8,268.45,1.45,269.9, ,269.9,270,0.1,1
14,40,2  +  7,42,1.45,133.45,7        9,133.45,1.45,134.9, ,134.9,135,0.1,2
15,44,9  +  1,45,1.45,160.45,10        12,160.45,1.45,161.9, ,161.9,162,0.1,1
16,37,17  +  6,48,1.45,124.45,23        25,124.45,1.45,125.9, ,125.9,126,0.1,1
17,60,19  +  8,51,1.45,208.45,29        27,208.45,1.45,209.9, ,209.9,210,0.1,2
18,50,13  +  9,54,1.45,178.45,20        22,178.45,1.45,179.9, ,179.9,180,0.1,2
19,54,15  +  6,57,1.45,190.45,21        23,190.45,1.45,191.9, ,191.9,192,0.1,1
20,65,16  +  6,60,1.45,238.45,20        22,238.45,1.45,239.9, ,239.9,240,0.1,2
21,31,17  +  6,63,1.45,106.45,23        25,106.45,1.45,107.9, ,107.9,108,0.1,1
22,4,17  +  7,66,1.45,10.45,26        24,10.45,1.45,11.9, ,11.9,12,0.1,2
23,7,18  +  6,69,1.45,19.45,26        24,19.45,1.45,20.9, ,20.9,21,0.1,2
24,19,3  +  7,72,1.45,55.45,10        12,55.45,1.45,56.9, ,56.9,57,0.1,1
25,5,1  +  2,75,1.45,13.45,1        3,13.45,1.45,14.9, ,14.9,15,0.1,2
26,80,4  +  2,78,1.45,283.45,4        6,283.45,1.45,284.9, ,284.9,285,0.1,2
27,4,6  +  4,81,1.45,10.45,8        10,10.45,1.45,11.9, ,11.9,12,0.1,2
28,39,7  +  2,84,1.45,130.45,7        9,130.45,1.45,131.9, ,131.9,132,0.1,2
29,38,1  +  8,87,1.45,127.45,11        9,127.45,1.45,128.9, ,128.9,129,0.1,2
30,33,5  +  5,90,1.45,112.45,10        8,112.45,1.45,113.9, ,113.9,114,0.1,1
31,73,1  +  5,93,1.45,262.45,6        4,262.45,1.45,263.9, ,263.9,264,0.1,1
32,55,2  +  8,96,1.45,193.45,10        12,193.45,1.45,194.9, ,194.9,195,0.1,1
33,49,6  +  1,99,1.45,175.45,5        7,175.45,1.45,176.9, ,176.9,177,0.1,2
34,72,3  +  2,102,1.45,259.45,5        7,259.45,1.45,260.9, ,260.9,261,0.1,1
35,76,1  +  6,105,1.45,271.45,9        7,271.45,1.45,272.9, ,272.9,273,0.1,2
36,69,7  +  3,108,1.45,250.45,12        10,250.45,1.45,251.9, ,251.9,252,0.1,2
37,65,1  +  4,111,1.45,238.45,5        7,238.45,1.45,239.9, ,239.9,240,0.1,1
38,11,4  +  6,114,1.45,31.45,8        10,31.45,1.45,32.9, ,32.9,33,0.1,2
39,3,1  +  7,117,1.45,7.45,8        6,7.45,1.45,8.9, ,8.9,9,0.1,1
40,18,19  +  4,120,1.45,52.45,23        25,52.45,1.45,53.9, ,53.9,54,0.1,1
41,47,16  +  7,123,1.45,169.45,23        21,169.45,1.45,170.9, ,170.9,171,0.1,1
42,38,19  +  8,126,1.45,127.45,25        27,127.45,1.45,128.9, ,128.9,129,0.1,2
43,66,12  +  9,129,1.45,241.45,19        21,241.45,1.45,242.9, ,242.9,243,0.1,2
44,67,13  +  8,132,1.45,244.45,19        21,244.45,1.45,245.9, ,245.9,246,0.1,2
45,70,15  +  9,135,1.45,253.45,24        26,253.45,1.45,254.9, ,254.9,255,0.1,1
46,56,15  +  7,138,1.45,196.45,24        22,196.45,1.45,197.9, ,197.9,198,0.1,2
47,6,17  +  7,141,1.45,16.45,24        22,16.45,1.45,17.9, ,17.9,18,0.1,1
48,76,14  +  7,144,1.45,271.45,23        21,271.45,1.45,272.9, ,272.9,273,0.1,2
49,24,16  +  8,147,1.45,85.45,26        24,85.45,1.45,86.9, ,86.9,87,0.1,2
50,45,15  +  9,150,1.45,163.45,24        26,163.45,1.45,164.9, ,164.9,165,0.1,1
51,73,18  +  9,153,1.45,262.45,27        29,262.45,1.45,263.9, ,263.9,264,0.1,1
52,8,19  +  6,156,1.45,22.45,27        25,22.45,1.45,23.9, ,23.9,24,0.1,2
53,19,14  +  8,159,1.45,55.45,22        24,55.45,1.45,56.9, ,56.9,57,0.1,1
54,48,17  +  4,162,1.45,172.45,23        21,172.45,1.45,173.9, ,173.9,174,0.1,2
55,5,16  +  9,165,1.45,13.45,23        25,13.45,1.45,14.9, ,14.9,15,0.1,2
56,14,16  +  8,168,1.45,40.45,22        24,40.45,1.45,41.9, ,41.9,42,0.1,2
57,9,16  +  9,171,1.45,25.45,25        23,25.45,1.45,26.9, ,26.9,27,0.1,1
58,43,17  +  5,174,1.45,157.45,22        20,157.45,1.45,158.9, ,158.9,159,0.1,1
59,10,17  +  9,177,1.45,28.45,26        28,28.45,1.45,29.9, ,29.9,30,0.1,1
60,68,16  +  5,180,1.45,247.45,19        21,247.45,1.45,248.9, ,248.9,249,0.1,2
61,74,19  +  3,183,1.45,265.45,22        20,265.45,1.45,266.9, ,266.9,267,0.1,1
62,44,18  +  5,186,1.45,160.45,21        23,160.45,1.45,161.9, ,161.9,162,0.1,2
63,25,15  +  8,189,1.45,88.45,23        25,88.45,1.45,89.9, ,89.9,90,0.1,1
